source_file,chart_type,group,outcome,value,error_bar_value,baseline_value,unit,confidence,review_status,notes
ESSE.png,bar,conlrl,,59.65038229199371,,197.14821949226805,,0.9492614269256592,auto,
ESSE.png,bar,,,20.544537841786962,15.642337780082698,197.14821949226805,,0.9623961448669434,auto,
ESSE.png,bar,,,40.99990263112588,18.65047966086783,197.14821949226805,,0.9300069808959961,auto,
ESSE.png,bar,3],,51.227585025795335,14.439081027768644,197.14821949226805,,0.9394055604934692,auto,
ESSE.png,bar,,,59.048753915836684,,197.14821949226805,,0.9575421810150146,auto,
ESSE.png,bar,,,59.048753915836684,,197.14821949226805,,0.9474000930786133,auto,
ESSE.png,bar,,,34.9836188695556,,197.14821949226805,,0.9409180879592896,auto,
ESSE.png,bar,J0,,60.25201066815074,,197.14821949226805,,0.950364351272583,auto,
ESSE.png,bar,,,48.82107152116723,,197.14821949226805,,0.9421948194503784,auto,
ESSE.png,bar,3k,,50.62595664963831,12.032567523140543,197.14821949226805,,0.9508100152015686,auto,
ESSE.png,bar,,,60.85363904430776,,197.14821949226805,,0.9687018990516663,auto,
ESSE.png,bar,,,57.84549716352263,,197.14821949226805,,0.966457724571228,auto,
ESSE.png,bar,,,60.25201066815074,,197.14821949226805,,0.9625605344772339,auto,
ESSE.png,bar,Imyksl,,60.85363904430776,,197.14821949226805,,0.9516364336013794,auto,
